label,lat,lon,color,symbol
Bistro Bryggan,59.446377,18.695903,#4682B4,harbor
Möja firestation AED,59.406367,18.883253,#FF0000,defibrillator
Ornö community center defibrillator,59.051932,18.431682,#FF0000,defibrillator
Sandhamn AED tenniscourt,59.284266,18.920096,#FF0000,defibrillator
Utö inn AED,58.967333,18.329549,#FF0000,defibrillator
Nåttarö hostel bbq,58.885691,18.134411,#D2691E,bbq
Ingmarsö,59.470163296,18.752772788,#5B7553,village
"Tempo, Sandhamn",59.2884716,18.9146302,#DAA520,grocery
Landsort bird station,58.746328,17.867399,#DAA520,observation-tower
Utö Bakgård bakery,58.969406,18.322687,#C4AD00,bakery
Bicycle rental Kyrkviken Ornö,59.052095,18.43276,#32DD32,bicycle
"Tempo, Sandhamn",59.2884716,18.9146302,#8B0000,alcohol-shop
"Fjärdlång, Mörkviken natural harbor",59.048822682,18.520656434,#4682B4,harbor
Östemar Bath Beach,58.887546,18.137476,#5DA6C2,swimming
"Fjärdlång, Vedviken natural harbor",59.044618341,18.512142571,#4682B4,harbor
Utö guest harbour.,58.970289,18.325582,#4682B4,harbor
Möjaström ferry stop,59.404,18.874724,#000080,ferry
