vehicle_id,trip_id,route_id,route_short_name,route_long_name,route_type
9031001001508555,14010000728177967,9011001034000000,340,,700.0
9031001004505541,14010000721188099,9011001063900000,639,,700.0
9031001004505135,14010000721188353,9011001064500000,645,,700.0
9031001001501722,14010000721896352,9011001081300000,813C,,700.0
9031001004505579,14010000721191752,9011001067600000,676,,700.0
9031001000500513,14010000729180643,9011114001600000,16,,1000.0
9031001006502552,,,,,
9031001004505504,14010000725407441,9011001017800000,178,,700.0
9031001003002736,14010000720460670,9011001018800000,188,,700.0
9031001003002091,14010100722070052,9011001047400000,474,,700.0
9031001007048019,14010000719408412,9011001003000000,30,Tvärbanan,900.0
9031001003007225,14010000721700500,9011001075400000,754,,700.0
9031001003005552,14010000720461640,9011001013500000,135,,700.0
9031001007050838,14010000719408447,9011001003000000,30,Tvärbanan,900.0
9031001001004576,14010000693515394,9011001050400000,504,,700.0
9031001003005415,14010000685560239,9011001007100000,71,,700.0
9031001003005350,14010000691118844,9011001046700000,467,,700.0
9031001001506912,14010000721981708,9011001031700000,317,,700.0
9031001003005328,14010100726289501,9011001041000000,410,,700.0
9031001003003572,14010000658204195,9011001054100000,541,,700.0
9031001001004566,14010000728117734,9011001054000000,540,,700.0
9031001003003570,14010000702691104,9011001055500000,555,,700.0
9031001001004688,14010000693515798,9011001050400000,504,,700.0
9031001004505554,14010000721190343,9011001063200000,632,,700.0
9031001003003486,,,,,
9031001003002083,14010100722071080,9011001047400000,474,,700.0
9031001003005546,14010000721444481,9011001013400000,134,,700.0
9031001001004622,14010000728117430,9011001011800000,118,,700.0
9031001004505038,14010000725409179,9011001060700000,607,,700.0
9031001008000700,14010000691588599,9011001008000000,80,,1000.0
9031001003003113,14010000670435421,9011001055500000,555,,700.0
9031001002510012,14010200722426481,9011001001100000,11,Blå linjen,401.0
9031001004505027,14010000725410445,9011001068700000,687,,700.0
9031001003005343,14010100726289265,9011001044600000,446,,700.0
9031001001004823,14010000686214538,9011001005700000,57,,700.0
9031001002520024,,,,,
9031001003005103,14010000725032308,9011001084000000,840,,700.0
9031001003005388,14010000728820087,9011001044200000-442C,442C,,700.0
9031001004505188,14010000725407831,9011001067000000,670,,700.0
9031001004505155,14010000726355923,9011001062700000,627,,700.0
9031001001500425,14010000721896391,9011001080300000,803,,700.0
9031001006502858,,,,,
9031001003005389,14010000726289521,9011001044600000,446,,700.0
9031001006502659,,,,,
9031001001004548,14010000723330995,9011001015500000-155X,155X,,700.0
9031001006502854,,,,,
9031001004505124,14010000721192383,9011001063900000,639,,700.0
9031001007000472,,,,,
9031001001500421,14010000725852065,9011001081200000,812C,,700.0
9031001001004554,14010000726871062,9011001011900000,119,,700.0
9031001001004942,14010000717173026,9011001051500000,515,,700.0
9031001001004820,14010000728367570,9011001006100000,61,,700.0
9031001004505556,14010000721191953,9011001064400000,644,,700.0
9031001004505507,14010000725409885,9011001060100000,601,,700.0
9031001004500483,14010000726816476,9011001058300000,583,,700.0
9031001001004695,14010000717173678,9011001011300000,113,,700.0
9031001001004647,14010000728117268,9011001012200000,122,,700.0
9031001000500548,14010000729182042,9011114000900000,9,,1000.0
9031001004505060,14010000720928282,9011001062900000,629,,700.0
9031001003005397,14010000691120067,9011001041800000,418,,700.0
9031001003005347,14010000691120050,9011001041300000,413,,700.0
9031001003001637,14010000720457253,9011001070200000,702,,700.0
9031001007047567,14010000697296534,9011001003100000,31,Tvärbanan,900.0
9031001001004630,14010000717174043,9011001051900000,519,,700.0
9031001003005115,14010000722561545,9011001083700000,837,,700.0
9031001003005064,14010000722562013,9011001080600000,806,,700.0
9031001003005041,14010000722559116,9011001083500000,835,,700.0
9031001004500401,14010000720615837,9011001056800000,568,,700.0
9031001003005554,14010000720461515,9011001013400000,134,,700.0
9031001004505043,14010000727984149,9011001061600000,616,,700.0
9031001004505500,14010000720923150,9011001067000000,670,,700.0
9031001003005312,14010000726289615,9011001044200000,442,,700.0
9031001003003575,14010000688932706,9011001054400000,544,,700.0
9031001003007221,,,,,
9031001003003515,14010000644172078,9011001056400000,564H,,700.0
9031001003003592,14010000689040142,9011001075800000,758,,700.0
9031001004505208,14010000720616403,9011001057000000,570,,700.0
9031001003003581,14010000650484213,9011001055800000,558,,700.0
9031001004505521,14010000720925625,9011001062600000,626,,700.0
9031001003005105,14010000722562417,9011001080900000-809C,809C,,700.0
