item,itemLabel,coord,img,website,lat,lon
http://www.wikidata.org/entity/Q134579695,Storsand Nåttarö grillplats,Point(18.133193 58.876646),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20Storsand%202.jpg,https://grillplatser.nu/Grillplats/Visa/Storsand-Nattaro,58.876646,18.133193
http://www.wikidata.org/entity/Q134579808,Storsand grillplats 2 Nåttarö,Point(18.133978 58.875992),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20Storsand.jpg,,58.875992,18.133978
http://www.wikidata.org/entity/Q134580000,SAT grill södra Storsand Nåttarö,Point(18.1339749 58.8758738),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20SAT%20grill%20Storsand%20%282%29.jpg,,58.8758738,18.1339749
http://www.wikidata.org/entity/Q134582361,Noret Fjärdlång grillplats,Point(18.520431 59.031514),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplatsen-Noret.jpg,,59.031514,18.520431
http://www.wikidata.org/entity/Q134582792,Skarsand SAT grillplats,Point(18.136511 58.884203),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20Skarsand%20grillplats%20SAT%202.jpg,,58.884203,18.136511
http://www.wikidata.org/entity/Q134582833,Skarsand SAT grillplats 2,Point(18.136531 58.884175),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20Skarsand%20grillplatser%20SAT%20%281%29.jpg,,58.884175,18.136531
http://www.wikidata.org/entity/Q134583309,Skarsand 1 grillplats,Point(18.136836 58.8841),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20Skarsand%20grillplats.jpg,,58.8841,18.136836
http://www.wikidata.org/entity/Q134606902,"Södra fladen Utö, grillplats 2",Point(18.286458 58.951705),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2081.jpg,,58.951705,18.286458
http://www.wikidata.org/entity/Q134606948,"Södra fladens vindskydd 2, Utö",Point(18.286388 58.951767),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2081.jpg,,58.951767,18.286388
http://www.wikidata.org/entity/Q134611499,Grillplats Arholma Nord östra,Point(19.123867 59.861482),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Arholma%2020250813%20-%2007.jpg,,59.861482,19.123867
http://www.wikidata.org/entity/Q134704760,Lidö vindskydd,Point(19.062199 59.7819711),http://commons.wikimedia.org/wiki/Special:FilePath/Lid%C3%B6%20vindkydd.jpg,,59.7819711,19.062199
http://www.wikidata.org/entity/Q134721309,"Lidö naturhamn, grillplats",Point(19.0870375 59.7767135),,https://www.explorearchipelago.com/sv/sthlm/norra-skargarden/lido,59.7767135,19.0870375
http://www.wikidata.org/entity/Q135267120,Östra Ålö grillplats,Point(18.223478542 58.922703604),,https://www.explorearchipelago.com/sv/sthlm/sodra-skargarden/alorano,58.922703604,18.223478542
http://www.wikidata.org/entity/Q135336466,Finnhamn gästhamn grillplats,Point(18.824362 59.4811),http://commons.wikimedia.org/wiki/Special:FilePath/Finnhamns%20g%C3%A4sthamn%20grillplats%2002.jpg,https://grillplatser.nu/Grillplats/Visa/Finnhamn-Vandrarhemsviken,59.4811,18.824362
http://www.wikidata.org/entity/Q135883737,Grillplats Nordvästra Nåttarö vid Naturhamnen,Point(18.136926 58.888145),http://commons.wikimedia.org/wiki/Special:FilePath/Norra%20N%C3%A5ttar%C3%B6%2020250801%2002.jpg,https://grillplatser.nu/Grillplats/Visa/Nordvastra-Nattaro-vid-Naturhamnen,58.888145,18.136926
http://www.wikidata.org/entity/Q135905118,Södra Sandvik Utö grillplats,Point(18.359262 58.97001),http://commons.wikimedia.org/wiki/Special:FilePath/Vandring%20SAT%20Ut%C3%B6%2020250816%20batch%2019.jpg,https://grillplatser.nu/Grillplats/Visa/Sodra-Sandvik,58.97001,18.359262
http://www.wikidata.org/entity/Q135969918,"Grillplats 2 vid badstrand, Grinda",Point(18.557534 59.41185),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Grinda%2020250825%20vandring%20dokumentera%2008.jpg,,59.41185,18.557534
http://www.wikidata.org/entity/Q136087206,"Bistro bryggan, grillplats",Point(18.695871 59.446505),http://commons.wikimedia.org/wiki/Special:FilePath/Bistro%20S%C3%A5gen%20grillplats%2001.jpg,,59.446505,18.695871
http://www.wikidata.org/entity/Q136337568,"Saltvik grillplats, Möja",Point(18.857945 59.413407),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20M%C3%B6ja%2020250815%20a%2017.jpg,,59.413407,18.857945
