TYP,UNDERTYP,SKYDDSTYP_KOD,count
Parkering,Parkering,"NP, NR",1
Information,Platsinformation,"NR, NR",1
Laddningsstation för elbilar,Laddningsstation för elbilar,"N2000-SPA/SCI, NR",1
Livboj,Livboj,"N2000-SPA/SCI, NP",1
Information,Portal,"NP, NR",1
Informationsbyggnad,Informationsbyggnad,"N2000-SCI, NR",1
Informationsbyggnad,Informationsbyggnad,"N2000-SPA/SCI, NP",1
Koja,Koja,N2000-SPA/SCI,1
Kåta,Kåta,"N2000-SCI, NR",1
Bro,Bro,"N2000-SCI, N2000-SPA, NR",1
Stätta,Stätta,"N2000-SPA/SCI, NR",1
Bostad,Bostad,"N2000-SCI, NR",1
Soptunna,Soptunna,"NR, NR",1
Toalett,Toalett,"N2000-SCI, NP",1
Soptunna,Soptunna,"NR, NVO",1
Vedförvaring/vedbod,Vedförvaring/vedbod,"NR, NR",1
Toalett,Toalett,"N2000-SCI, N2000-SCI, NR, NR",1
Vägbom,Vägbom,"NR, NVO",1
Vindskydd,Vindskydd,"DVO, N2000-SCI",1
Toalett,Toalett,"N2000-SPA/SCI, NR",1
Stätta,Stätta,NP,1
Vedförvaring/vedbod,Vedförvaring/vedbod,N2000-SPA/SCI,1
Trappa,Trappa,<NULL>,1
Toalett,Toalett,"DVO, N2000-SPA/SCI, NR",1
Vindskydd,Vindskydd,"DVO, N2000-SPA/SCI, NR",1
Soptunna,Soptunna,"NP, NR",1
Trappa,Trappa,"N2000-SPA/SCI, NP",1
Vedförvaring/vedbod,Vedförvaring/vedbod,NVO,1
Soptunna,Soptunna,"N2000-SPA, NR",1
Stätta,Stätta,"N2000-SPA/SCI, NP",1
Bastu,Bastu,NP,1
Soptunna,Soptunna,"N2000-SCI, NM, NR",1
Toalett,Toalett,"N2000-SCI, N2000-SPA, NR",1
Tältplats,Tältplats,"N2000-SPA/SCI, NP",1
Tillgänglighetsramp,Tillgänglighetsramp,NR,1
Utsikt,Utsikt,"N2000-SCI, NP",1
Vägbom,Vägbom,"N2000-SCI, NVO",1
Soptunna,Soptunna,"N2000-SCI, N2000-SPA, NR",1
Vedförvaring/vedbod,Vedförvaring/vedbod,"N2000-SCI, N2000-SPA, NR",1
Vindskydd,Vindskydd,"N2000-SCI, NVO",1
Tältplats,Tältplats,"DVO, N2000-SPA/SCI, NR",1
Vägbom,Vägbom,NP,1
Vedförvaring/vedbod,Vedförvaring/vedbod,DVO,1
Vindskydd,Vindskydd,N2000-SPA/SCI,1
Stängselgenomgång,Stängselgenomgång,"OBO, OBO",1
Utsikt,Utsikt,"DVO, N2000-SPA/SCI, NR",1
Stätta,Stätta,DVO,1
Vägbom,Vägbom,NVO,1
Ankringsplats,Ankringsplats,"N2000-SCI, NR",1
Sopstation,Sopstation,"N2000-SCI, NP",1
Gömsle,Gömsle,"N2000-SPA/SCI, NR",1
Information,Ledterminal,"N2000-SPA/SCI, NP",1
Information,Ledterminal,NVO,1
Information,Områdesskyddsinformation,"DVO, NR",1
Information,Områdesskyddsinformation,"N2000-SCI, NM, NR",1
Information,Områdesskyddsinformation,"N2000-SCI, NVO",1
Information,Områdesskyddsinformation,"N2000-SPA, NVO",1
Eldstad,Eldstad,N2000-SCI,1
Dricksvatten,Brunn,"N2000-SCI, NP",1
Information,Platsinformation,NM,1
Bro,Hängbro,"DVO, N2000-SCI, N2000-SPA, NR",1
Ankringsplats,Ankringsplats,NP,1
Ankringsplats,Ankringsplats,"NR, NR",1
Badplats,Badplats,"DVO, N2000-SCI, NR",1
Badplats,Badplats,"N2000-SCI, N2000-SPA, NR",1
Barnens skog,Barnens skog,NR,1
Information,Karta,"NR, NR",1
Information,Broshyrer,NVO,1
Information,Broshyrer,"N2000-SCI, NR",1
Fyr,Fyr,NP,1
Eldstad,Eldstad,"N2000-SCI, N2000-SPA, NR",1
Eldstad,Eldstad,"N2000-SCI, NM, NR",1
Eldstad,Eldstad,"NR, NR, NR",1
Eldstad,Eldstad,OBO,1
Fyr,Fyr,"DVO, N2000-SPA/SCI, NR",1
Fyr,Fyr,"N2000-SPA/SCI, NR",1
Fäbodstuga,Fäbodstuga,NR,1
Information,3d-modell,"N2000-SPA/SCI, NR",1
Fågeltorn,Fågeltorn,"N2000-SCI, NVO",1
Grind,Grind,DVO,1
Gömsle,Gömsle,"N2000-SCI, NR",1
Gömsle,Gömsle,NP,1
Dricksvatten,Brunn,"N2000-SCI, NR",1
Information,3d-modell,"N2000-SCI, NR",1
Ljudinformation,Ljudinformation,NP,1
