OBJECTID,ANORDNING_ID,ANORDNINGNAMN,TYP,UNDERTYP,BESKRIVNING,NP,GEOMETRIKVALITET,SKYDDSTYP_KOD,SKYDDATOMRADE,SKYDDATOMRADE_ID,STATLIGLED,STATLIGLED_ID,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
33786934,30485430,,Rastplats,Bänk ,,0,<= 20 meter,NR,Bullerö (2002203),2002203,,,59.2003856,18.8494548,https://www.openstreetmap.org/?mlat=59.2003856&mlon=18.8494548#map=18/59.2003856/18.8494548,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2003856,18.8494548););out center;"
33784357,30485254,Eldstad,Eldstad,Eldstad,,0,>50-100 meter,NR,Råön (2005536),2005536,,,56.8893476,13.7647038,https://www.openstreetmap.org/?mlat=56.8893476&mlon=13.7647038#map=18/56.8893476/13.7647038,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.8893476,13.7647038););out center;"
33774364,30485175,Grillplats,Eldstad,Eldstad,,0,Okänd noggrannhet,NR,Lagnäset (2045037),2045037,,,63.9187572,19.2066379,https://www.openstreetmap.org/?mlat=63.9187572&mlon=19.2066379#map=18/63.9187572/19.2066379,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.9187572,19.2066379););out center;"
33781991,30485173,Rastbord,Rastplats,Bänkbord,,0,<= 20 meter,NR,Lagnäset (2045037),2045037,,,63.9163136,19.2094486,https://www.openstreetmap.org/?mlat=63.9163136&mlon=19.2094486#map=18/63.9163136/19.2094486,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.9163136,19.2094486););out center;"
33776769,30485082,,Vedförvaring/vedbod,Vedförvaring/vedbod,,0,<= 20 meter,NR,Stockholmsgata (2001671),2001671,,,63.906758,17.8354591,https://www.openstreetmap.org/?mlat=63.906758&mlon=17.8354591#map=18/63.906758/17.8354591,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.906758,17.8354591););out center;"
33776770,30485016,,Eldstad,Eldstad,,0,<= 20 meter,NR,Stockholmsgata (2001671),2001671,,,63.9068403,17.8352026,https://www.openstreetmap.org/?mlat=63.9068403&mlon=17.8352026#map=18/63.9068403/17.8352026,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.9068403,17.8352026););out center;"
33783246,30484862,Två bänkbord,Rastplats,Bänkbord,,0,<= 20 meter,NR,Grogarnsberget (2013401),2013401,,,57.4374095,18.8914234,https://www.openstreetmap.org/?mlat=57.4374095&mlon=18.8914234#map=18/57.4374095/18.8914234,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.4374095,18.8914234););out center;"
33783327,30484860,Grillplats,Eldstad,Eldstad,,0,<= 20 meter,NR,Grogarnsberget (2013401),2013401,,,57.4437737,18.887128,https://www.openstreetmap.org/?mlat=57.4437737&mlon=18.887128#map=18/57.4437737/18.887128,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.4437737,18.887128););out center;"
33790990,30484858,handikapparkering,Parkering för rörelsehindrade,Parkering för rörelsehindrade,,0,<= 20 meter,NR,Grogarnsberget (2013401),2013401,,,57.4412566,18.8923064,https://www.openstreetmap.org/?mlat=57.4412566&mlon=18.8923064#map=18/57.4412566/18.8923064,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.4412566,18.8923064););out center;"
33788260,30484856,Vedbox,Vedförvaring/vedbod,Vedförvaring/vedbod,,0,<= 20 meter,NR,Grogarnsberget (2013401),2013401,,,57.4368959,18.8974169,https://www.openstreetmap.org/?mlat=57.4368959&mlon=18.8974169#map=18/57.4368959/18.8974169,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.4368959,18.8974169););out center;"
