OBJECTID,GEOMETRIKVALITET,LED_ID,LEDNAMN,BESKRIVNING,LEDMARKERING,LEDTYP,LEDKATEGORI,STATLIGLED,STATLIGLED_ID,SKYDDATOMRADE,SKYDDATOMRADE_ID,LEDLANGD,SHAPE.LEN,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
12344722,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,7.84338990234055,59.2334308,18.7203176,https://www.openstreetmap.org/?mlat=59.2334308&mlon=18.7203176#map=18/59.2334308/18.7203176,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334308,18.7203176););out center;"
12344721,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,21.2996196986308,59.2336257,18.7204976,https://www.openstreetmap.org/?mlat=59.2336257&mlon=18.7204976#map=18/59.2336257/18.7204976,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2336257,18.7204976););out center;"
12344720,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,7.38832231993084,59.2333475,18.7198991,https://www.openstreetmap.org/?mlat=59.2333475&mlon=18.7198991#map=18/59.2333475/18.7198991,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333475,18.7198991););out center;"
12344719,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,4.53369531618524,59.2337693,18.7204813,https://www.openstreetmap.org/?mlat=59.2337693&mlon=18.7204813#map=18/59.2337693/18.7204813,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337693,18.7204813););out center;"
12344718,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,0.107892770842165,59.2334658,18.7203298,https://www.openstreetmap.org/?mlat=59.2334658&mlon=18.7203298#map=18/59.2334658/18.7203298,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334658,18.7203298););out center;"
12350929,<= 20 meter,30607514,Nabbenslingan,,Ja,Vandringsled,Barmarksled,,,"Nabbens naturreservat (2000976), Skäret (2022830)","2000976, 2022830",5862,1561.89001117848,56.2662377,12.6038105,https://www.openstreetmap.org/?mlat=56.2662377&mlon=12.6038105#map=18/56.2662377/12.6038105,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2662377,12.6038105););out center;"
12352612,<= 20 meter,30607514,Nabbenslingan,,Ja,Vandringsled,Barmarksled,,,"Nabbens naturreservat (2000976), Skäret (2022830)","2000976, 2022830",5862,300.976381582009,56.2623247,12.6068175,https://www.openstreetmap.org/?mlat=56.2623247&mlon=12.6068175#map=18/56.2623247/12.6068175,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2623247,12.6068175););out center;"
12352611,<= 20 meter,30607514,Nabbenslingan,,Ja,Vandringsled,Barmarksled,,,"Nabbens naturreservat (2000976), Skäret (2022830)","2000976, 2022830",5862,1432.50387012981,56.2670934,12.5921551,https://www.openstreetmap.org/?mlat=56.2670934&mlon=12.5921551#map=18/56.2670934/12.5921551,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2670934,12.5921551););out center;"
12352610,<= 20 meter,30607514,Nabbenslingan,,Ja,Vandringsled,Barmarksled,,,"Nabbens naturreservat (2000976), Skäret (2022830)","2000976, 2022830",5862,429.574421654807,56.2622582,12.6023782,https://www.openstreetmap.org/?mlat=56.2622582&mlon=12.6023782#map=18/56.2622582/12.6023782,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2622582,12.6023782););out center;"
12352835,<= 20 meter,30607514,Nabbenslingan,,Ja,Vandringsled,Barmarksled,,,"Nabbens naturreservat (2000976), Skäret (2022830)","2000976, 2022830",5862,1085.65011100997,56.2668977,12.6010557,https://www.openstreetmap.org/?mlat=56.2668977&mlon=12.6010557#map=18/56.2668977/12.6010557,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2668977,12.6010557););out center;"
