NVRID,NAMN,DATA_FRILUFTSLIV_PUBLICERAT,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
2003705,"Stångskär, Stångskärsflöt, Stora Kråkan",Nej,56.1118088,15.4069894,https://www.openstreetmap.org/?mlat=56.1118088&mlon=15.4069894#map=18/56.1118088/15.4069894,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.1118088,15.4069894););out center;"
2000240,Juarbergen,Ja,58.8765553,14.4954298,https://www.openstreetmap.org/?mlat=58.8765553&mlon=14.4954298#map=18/58.8765553/14.4954298,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.8765553,14.4954298););out center;"
2066130,Norra och Söda Hylteskär - Holländaren - Knorren ,Nej,56.0612282,15.7856888,https://www.openstreetmap.org/?mlat=56.0612282&mlon=15.7856888#map=18/56.0612282/15.7856888,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.0612282,15.7856888););out center;"
2005278,"Pelargran, Tand Lockne",Nej,63.0038422,14.6901451,https://www.openstreetmap.org/?mlat=63.0038422&mlon=14.6901451#map=18/63.0038422/14.6901451,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.0038422,14.6901451););out center;"
2002427,Gräsbergsklövet,Nej,60.9305757,15.3964313,https://www.openstreetmap.org/?mlat=60.9305757&mlon=15.3964313#map=18/60.9305757/15.3964313,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.9305757,15.3964313););out center;"
2002201,Biskopsö,Ja,59.0832057,18.7382204,https://www.openstreetmap.org/?mlat=59.0832057&mlon=18.7382204#map=18/59.0832057/18.7382204,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.0832057,18.7382204););out center;"
2001528,Löddeåns mynning (norra delen),Ja,55.7253167,12.9757728,https://www.openstreetmap.org/?mlat=55.7253167&mlon=12.9757728#map=18/55.7253167/12.9757728,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,55.7253167,12.9757728););out center;"
2000204,Sveafallen,Ja,59.2164555,14.4309396,https://www.openstreetmap.org/?mlat=59.2164555&mlon=14.4309396#map=18/59.2164555/14.4309396,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2164555,14.4309396););out center;"
2032529,Frihult,Ja,55.5607366,13.6380092,https://www.openstreetmap.org/?mlat=55.5607366&mlon=13.6380092#map=18/55.5607366/13.6380092,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,55.5607366,13.6380092););out center;"
2040187,Berg,Nej,58.3946293,12.0572723,https://www.openstreetmap.org/?mlat=58.3946293&mlon=12.0572723#map=18/58.3946293/12.0572723,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.3946293,12.0572723););out center;"
2025712,Nordvattnet,Nej,58.0572988,14.0716479,https://www.openstreetmap.org/?mlat=58.0572988&mlon=14.0716479#map=18/58.0572988/14.0716479,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.0572988,14.0716479););out center;"
2046914,Hakatorp,Ja,57.0087066,14.4555631,https://www.openstreetmap.org/?mlat=57.0087066&mlon=14.4555631#map=18/57.0087066/14.4555631,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.0087066,14.4555631););out center;"
2040831,Björshus,Ja,55.7591137,14.1043492,https://www.openstreetmap.org/?mlat=55.7591137&mlon=14.1043492#map=18/55.7591137/14.1043492,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,55.7591137,14.1043492););out center;"
2000393,Ranebo naturskog,Nej,57.9833633,11.9331561,https://www.openstreetmap.org/?mlat=57.9833633&mlon=11.9331561#map=18/57.9833633/11.9331561,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.9833633,11.9331561););out center;"
2001896,Hästholmarna,Ja,59.5853733,16.5840294,https://www.openstreetmap.org/?mlat=59.5853733&mlon=16.5840294#map=18/59.5853733/16.5840294,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.5853733,16.5840294););out center;"
2025516,Fågelö,Nej,57.573407,12.9454874,https://www.openstreetmap.org/?mlat=57.573407&mlon=12.9454874#map=18/57.573407/12.9454874,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.573407,12.9454874););out center;"
2004725,Gimpelstenarna,Ja,59.5003153,16.7592542,https://www.openstreetmap.org/?mlat=59.5003153&mlon=16.7592542#map=18/59.5003153/16.7592542,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.5003153,16.7592542););out center;"
2003274,Västra Skägga 1:111 1:119,Nej,59.4199989,18.4321266,https://www.openstreetmap.org/?mlat=59.4199989&mlon=18.4321266#map=18/59.4199989/18.4321266,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.4199989,18.4321266););out center;"
2064822,Jämsunda,Ja,56.2806888,15.4699599,https://www.openstreetmap.org/?mlat=56.2806888&mlon=15.4699599#map=18/56.2806888/15.4699599,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2806888,15.4699599););out center;"
2002847,Mördarheden,Ja,59.9531086,14.7760948,https://www.openstreetmap.org/?mlat=59.9531086&mlon=14.7760948#map=18/59.9531086/14.7760948,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.9531086,14.7760948););out center;"
2002662,Petgärdeträsk,Ja,56.9541987,16.857866,https://www.openstreetmap.org/?mlat=56.9541987&mlon=16.857866#map=18/56.9541987/16.857866,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.9541987,16.857866););out center;"
2001002,Rokliden,Nej,65.3271428,20.9112851,https://www.openstreetmap.org/?mlat=65.3271428&mlon=20.9112851#map=18/65.3271428/20.9112851,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,65.3271428,20.9112851););out center;"
2041251,Rammelberget,Ja,64.6234603,19.3108449,https://www.openstreetmap.org/?mlat=64.6234603&mlon=19.3108449#map=18/64.6234603/19.3108449,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,64.6234603,19.3108449););out center;"
2004308,2004081 (W-id) Tall,Nej,60.4029449,15.1802613,https://www.openstreetmap.org/?mlat=60.4029449&mlon=15.1802613#map=18/60.4029449/15.1802613,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.4029449,15.1802613););out center;"
2025735,Lilla Holmen,Nej,58.6474753,13.9589877,https://www.openstreetmap.org/?mlat=58.6474753&mlon=13.9589877#map=18/58.6474753/13.9589877,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.6474753,13.9589877););out center;"
2051721,Klagshamnsudden,Nej,55.5222216,12.9092171,https://www.openstreetmap.org/?mlat=55.5222216&mlon=12.9092171#map=18/55.5222216/12.9092171,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,55.5222216,12.9092171););out center;"
2000076,Käringahejan,Ja,56.3478679,14.6917653,https://www.openstreetmap.org/?mlat=56.3478679&mlon=14.6917653#map=18/56.3478679/14.6917653,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.3478679,14.6917653););out center;"
