number,OSM Number,Wikidata Number,label,island,access,drinking_water,note,note:en,operator,operator:wikidata,contact_url,contact_phone,wikimedia_commons,image,image:license,image:license:wikidata,check_date,start_date,osm_notes_nearby,osm_note_ids,osm_note_links,fixme
144,node/12945087542,Q134986918,SAT Landsort,Öja,,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/47/North_harbor_drinking_water_Landsort.jpg,CC-0,,,,,,,saknar access; saknar operator; saknar check_date
151,node/13030994018,,SAT Lidö,Lidö,private,unknown,"Vattenkran utanför Lidö Värdshus, avstängd i april 2025. Dricksvattenstatus ej verifierad",,Lidö Värdshus,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/SAT_Lid%C3%B6_%28170%29.jpg,CC-0,,2025-04,,,,,dricksvatten ej testat / unknown; saknar länk till Wikidata
152,node/13041364818,,SAT Nåttarö,Nåttarö,yes,yes,,,,,,,Category:Nåttarö_toilet_13041364818,https://upload.wikimedia.org/wikipedia/commons/9/91/SATN%C3%A5ttar%C3%B6_2025_april_%28248%29_toalett_tv%C3%A4ttst%C3%A4ll.jpg,CC-0,Q6938433,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
153,node/13041911527,,SAT Landsort,Öja,yes,yes,,,,,,,Category:Landsort_public_toilet_9907275660,https://upload.wikimedia.org/wikipedia/commons/8/8a/Landsort_sj%C3%B6fartsverket_mappilary_%28cropped%29.jpg,CC-0,Q6938433,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
155,node/13052360067,,SAT Utö,Utö,unknown,conditional,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/39/SAT_Ut%C3%B6_2025_april_99.jpg,CC-0,Q6938433,2025-08-06,,,,,saknar operator; saknar länk till Wikidata
157,node/13064822373,,SAT Ingmarsö,Ingmarsö,permissive,yes,,,,,,,Category:Ingmarsö_drinking_water,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Ingmars%C3%B6_g%C3%A4sthamn_dricksvatten_02.jpg/960px-Ingmars%C3%B6_g%C3%A4sthamn_dricksvatten_02.jpg,CC-0,,,,,,,saknar operator; saknar länk till Wikidata; saknar check_date
158,node/13072501851,Q134667339,SAT Arholma,Arholma,customers,yes,,,Arholma Dansbana,Q134667339,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Arholma_20250816_02.jpg/2560px-Arholma_20250816_02.jpg,CC-0,Q6938433,,,,,,saknar check_date
161,node/13096050076,,SAT Grinda,Grinda,,yes,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/SAT_Grinda_20250825_visit_Batch_5.jpg/1536px-SAT_Grinda_20250825_visit_Batch_5.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar access; saknar operator; saknar länk till Wikidata
162,node/13096093701,Q10670989,SAT Grinda,Grinda,,,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/SAT_Grinda_20250825_Visit_batch_6.jpg/3024px-SAT_Grinda_20250825_Visit_batch_6.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar drinking_water-tag; saknar access
163,node/13096119643,Q10670989,SAT Grinda,Grinda,,yes,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SAT_Grinda_20250825_Batch_5.jpg/3024px-SAT_Grinda_20250825_Batch_5.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar access
164,node/13098060270,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda, public toilets Cissi 13098060270",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/SAT_Grinda_20250825_vandring_dokumentera_11.jpg/3024px-SAT_Grinda_20250825_vandring_dokumentera_11.jpg,CC-0,Q6938433,2025-08-25,,,,,
165,node/13098083627,,SAT Grinda,Grinda,customers,yes,,,,,,,"Category:Grinda,_public_toilets_Grinda_Wärdshus",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Grinda_20250825_vandring_03.jpg/3024px-Grinda_20250825_vandring_03.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar operator; saknar länk till Wikidata
166,node/13098115083,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_13098115083",https://upload.wikimedia.org/wikipedia/commons/4/4d/SAT_Grinda_20250825_Batch_4.jpg,CC-0,Q6938433,,,,,,saknar check_date
167,node/13100103357,Q10670989,SAT Grinda,Grinda,,,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/9/97/SAT_Grinda_toalett_Linn_20250825_02.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar drinking_water-tag; saknar access
168,node/13100145836,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_4239095028",https://upload.wikimedia.org/wikipedia/commons/f/fb/SAT_Grinda_20250825_bes%C3%B6k_03.jpg,CC-0,Q6938433,2025-08-25,,,,,
169,node/13100147504,Q10670989,SAT Grinda,Grinda,,,,,Skärgårdsstiftelsen,Q10670989,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/SAT_Grinda_20250825_Visit_batch_9.jpg/3024px-SAT_Grinda_20250825_Visit_batch_9.jpg,CC-0,Q6938433,,,,,,saknar drinking_water-tag; saknar access; saknar check_date
170,way/427182337,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_Lena_427182337",https://upload.wikimedia.org/wikipedia/commons/e/e4/SAT_Grinda_Linn_20250825_01.jpg,CC-0,Q6938433,2025-08-25,,,,,
173,way/940431496,Q10670989,SAT Grinda,Grinda,yes,yes,,,Skärgårdsstiftelsen,Q10670989,,,"Category:Grinda,_public_toilets_940431496",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/SAT_Grinda_20250825_Batch_7.jpg/3024px-SAT_Grinda_20250825_Batch_7.jpg,CC-0,Q6938433,2025-08-25,,,,,
174,way/1424973417,,SAT Grinda,Grinda,yes,yes,,,,,,,"Category:Grinda,_public_toilets_Cissi_13098060270",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/SAT_Grinda_20250825_vandring_dokumentera_11.jpg/3024px-SAT_Grinda_20250825_vandring_dokumentera_11.jpg,CC-0,Q6938433,2025-08-25,,,,,saknar operator; saknar länk till Wikidata
