tags,id,osm_type,toilets_num,distance_m
"{'access': 'customers', 'amenity': 'toilets'}",2960940412,node,1,21.95555381423814
"{'amenity': 'toilets', 'fee': 'no', 'wheelchair': 'no'}",4239095028,node,1,117.19472894918917
"{'amenity': 'toilets', 'wheelchair': 'no'}",4239166142,node,1,13.34887479329958
"{'access': 'yes', 'amenity': 'toilets', 'check_date': '2025-08-02', 'drinking_water': 'no', 'fee': 'no', 'handicap': 'no', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'toilets:position': 'seated', 'wheelchair': 'no'}",4314791694,node,1,43.964585136635044
"{'amenity': 'toilets', 'toilets:disposal': 'pitlatrine'}",4962580122,node,1,82.41549905077288
"{'access': 'yes', 'amenity': 'toilets', 'level': '0'}",4964700616,node,1,51.75799664713962
"{'amenity': 'toilets', 'check_date': '2023-08-11', 'fee': 'no', 'wheelchair': 'no'}",4986599082,node,1,7.75418159245796
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",4986606253,node,1,50.65331531420375
"{'access': 'customers', 'amenity': 'toilets', 'drinking_water': 'yes', 'toilets:disposal': 'flush', 'toilets:position': 'seated;urinal', 'unisex': 'yes', 'wheelchair': 'no'}",5005120552,node,1,33.58224692013895
"{'access': 'customers', 'amenity': 'toilets', 'description': 'Toaletter för gäster på Utö Camping', 'operator': 'Utö Camping', 'operator:wikidata': 'Q134366886', 'toilets:paper_supplied': 'yes', 'unisex': 'yes', 'wheelchair': 'limited'}",5005791361,node,1,19.08792983482378
{'amenity': 'toilets'},5005793728,node,1,10.380699635259818
"{'access': 'yes', 'amenity': 'toilets', 'highway': 'rest_area', 'name': 'Vänthall', 'unisex': 'yes'}",5006428827,node,1,17.249536265570534
"{'amenity': 'toilets', 'building': 'yes', 'fee': 'no', 'wheelchair': 'no'}",5009607109,node,1,15.653901063282559
"{'access': 'customers', 'amenity': 'toilets', 'description': 'för kunder till restaurangen', 'fee': 'no', 'name': 'Båtshakets Toaletter', 'operator': 'Båtshaket', 'toilets:handwashing': 'yes', 'unisex': 'yes'}",5728810295,node,1,63.108459140074046
"{'access': 'yes', 'amenity': 'toilets', 'capacity:persons': '2', 'changing_table': 'no', 'description': 'Ligger på vägen ned till bryggan finns dricksvatten pump bredvid', 'drinking_water': 'no', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/8/83/SAT_%C3%85l%C3%B6_2025_maj_%28241%29_toalett.jpg', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:disposal': 'bucket', 'toilets:position': 'seated', 'unisex': 'yes', 'wikimedia_commons': 'Category:Ålö_brygga,_public_toilets'}",5728811148,node,1,8.242295568675184
"{'access': 'public', 'amenity': 'toilets', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Fl%C3%A4skberget_AED.jpg/2560px-Fl%C3%A4skberget_AED.jpg', 'image:license': 'CC-0', 'opening_hours': '8:00-18:00', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:paper_supplied': 'yes'}",5734098673,node,1,46.969750735866214
"{'access': 'yes', 'amenity': 'toilets', 'toilets:disposal': 'bucket', 'unisex': 'yes'}",5744466280,node,1,59.66700437827037
"{'amenity': 'toilets', 'check_date': '2025-08-08', 'fee': 'no', 'unisex': 'yes'}",5745003238,node,1,2.8409099454536255
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'name': 'Gästhamnen Toaletter', 'toilets:disposal': 'bucket', 'unisex': 'yes'}",5745003241,node,1,190.60998574657728
